Date,Description,Amount,Category
2023-06-05,Monthly prescription,98.48,Health
2023-04-25,Monthly home decor,197.79,Shopping
2023-05-17,Monthly beauty products,50.5,Shopping
2023-11-30,Fresh produce from Local grocery,28.41,Groceries
2023-11-20,Monthly concert tickets,103.73,Entertainment
2023-12-22,Household supplies at Safeway,74.31,Groceries
2023-05-09,Local grocery - organic food,187.92,Groceries
2023-07-11,Gym - medical test,164.1,Health
2023-05-18,Real estate office property service,226.8,Housing
2023-03-12,Monthly toll,15.51,Transport
2023-05-28,Monthly property service,132.03,Housing
2023-05-03,Grocery shopping from Pizza Hut,99.65,Food
2023-03-17,Local grocery - pet supplies,71.57,Groceries
2023-12-10,Insurance provider disability insurance,221.55,Insurance
2023-11-25,Insurance broker home insurance,283.81,Insurance
2023-08-27,Monthly home insurance,350.62,Housing
2023-01-09,Utility company waste management,49.97,Utilities
2023-02-02,Housing authority - mortgage payment,1795.68,Housing
2023-04-21,Shoes payment,46.55,Shopping
2023-01-01,Monthly smartphone,555.83,Electronics
2023-08-06,Wellness center - eye exam,66.29,Health
2023-08-16,Auto shop - taxi,35.31,Transport
2023-02-12,Target - laptop,674.37,Electronics
2023-01-08,First aid supplies from Pharmacy,34.94,Health
2023-03-26,Monthly sewer service,63.61,Utilities
2023-05-25,Gas bill at Municipal services,80.25,Utilities
2023-03-16,Monthly metro card,91.7,Transport
2023-03-25,Online insurance travel insurance,22.65,Insurance
2023-09-22,Life insurance from Insurance agent,92.7,Insurance
2023-10-14,Insurance broker home insurance,68.33,Insurance
2023-06-26,Computer accessories payment,78.84,Electronics
2023-07-01,Airport - toll,15.85,Transport
2024-01-10,Bulk shopping payment,274.7,Groceries
2023-08-23,Stadium - gaming subscription,14.61,Entertainment
2023-09-17,Laptop from Microsoft Store,1880.82,Electronics
2024-01-25,Car wash from Gas station,39.92,Transport
2023-05-14,Household supplies payment,88.96,Groceries
2024-01-05,Dental checkup payment,319.62,Health
2023-02-21,Insurance office - health insurance,144.56,Insurance
2023-05-17,Food delivery payment,19.84,Food
2023-08-24,Local retailer gaming console,374.49,Electronics
2023-11-23,Monthly lunch,9.82,Food
2024-01-20,Monthly computer accessories,137.23,Electronics
2023-01-09,Rental insurance payment,31.78,Insurance
2024-01-09,Water department waste management,33.53,Utilities
2023-11-27,City utilities - cable tv,101.81,Utilities
2023-03-24,Rental insurance from Insurance agent,71.51,Insurance
2023-03-30,Aldi - baby supplies,123.06,Groceries
2023-11-03,Theme park theme park,117.96,Entertainment
2023-01-14,Property tax at Real estate office,1235.39,Housing
2023-02-22,Medical center - eye exam,65.6,Health
2023-03-25,Real estate office - home improvement,977.48,Housing
2023-10-11,Energy service at Phone company,112.32,Utilities
2023-02-16,Therapy session at Wellness center,105.29,Health
2023-04-06,Fast food from Whole Foods,21.79,Food
2023-05-22,Panera Bread lunch,9.49,Food
2023-10-14,Pet supplies payment,57.96,Groceries
2024-02-12,Burger King coffee shop,16.53,Food
2023-06-27,Monthly water bill,33.77,Utilities
2023-08-02,Maintenance company - property service,132.73,Housing
2023-06-20,Water bill payment,68.59,Utilities
2023-03-21,Food delivery at Starbucks,15.3,Food
2023-06-15,Monthly vitamins,33.19,Health
2023-03-23,Electricity bill at Municipal services,148.96,Utilities
2024-02-20,Snacks and beverages at Trader Joe's,25.27,Groceries
2023-12-20,Fresh produce from Whole Foods,21.31,Groceries
2023-06-08,Monthly organic food,148.59,Groceries
2024-01-22,Monthly rent payment,1818.56,Housing
2024-02-26,Food delivery from Burger King,34.7,Food
2024-02-15,Monthly eye exam,99.43,Health
2023-07-01,Uber ride from Highway,41.76,Transport
2023-08-15,Monthly netflix subscription,13.34,Entertainment
2024-01-13,Eye care center health insurance,286.82,Health
2023-01-10,Personal care payment,66.81,Shopping
2023-04-29,City utilities internet bill,49.4,Utilities
2023-02-22,Internet bill at City utilities,78.65,Utilities
2023-06-01,Organic food payment,180.22,Groceries
2023-04-24,Monthly fast food,5.92,Food
2023-04-09,Monthly dental checkup,271.52,Health
2023-02-25,Gaming console from Tech shop,383.51,Electronics
2023-05-06,Snacks and beverages at Aldi,65.24,Groceries
2023-05-18,Pizza Hut - coffee shop,4.64,Food
2023-06-07,Phone company water bill,75.67,Utilities
2023-06-21,Local restaurant lunch,12.92,Food
2023-08-13,Online store gaming console,432.17,Electronics
2023-07-15,Vitamins payment,39.94,Health
2023-08-20,Pet insurance at Insurance broker,87.93,Insurance
2023-11-17,Office supplies at Specialty shop,95.12,Shopping
2023-08-14,Mall home decor,63.11,Shopping
2023-10-08,Microsoft Store - computer accessories,177.89,Electronics
2023-04-22,TV payment,529.8,Electronics
2023-01-28,Music streaming payment,12.41,Entertainment
2023-01-26,Gym - eye exam,163.18,Health
2023-09-12,Monthly waste management,37.04,Utilities
2024-01-19,Department store - office supplies,88.52,Shopping
2023-09-13,Monthly music streaming,5.11,Entertainment
2023-06-02,Furniture at Outlet,387.7,Shopping
2023-01-20,Snacks from Starbucks,13.89,Food
2023-03-01,Grocery shopping at Trader Joe's,66.1,Food
2023-07-22,Housing authority - maintenance,521.45,Housing
2023-12-28,Outlet accessories,48.57,Shopping
2024-01-12,Headphones at Online store,32.69,Electronics
2023-06-13,Insurance office home insurance,289.47,Insurance
2024-01-16,Electricity bill at Cable provider,81.26,Utilities
2023-04-17,Pet supplies from Trader Joe's,50.96,Groceries
2023-12-20,Target meat and dairy,31.19,Groceries
2023-03-15,Eye exam payment,93.09,Health
2023-10-20,Monthly life insurance,179.89,Insurance
2023-02-20,Train ticket at Downtown,49.26,Transport
2023-11-24,Car insurance payment,131.39,Insurance
2023-11-12,Eye care center - health insurance,320.68,Health
2024-01-26,Housing authority - property service,291.21,Housing
2023-08-18,Vision insurance at Insurance broker,70.92,Insurance
2023-02-27,Housing authority - property service,451.48,Housing
2024-01-13,Monthly food delivery,36.93,Food
2024-01-18,Monthly book purchase,43.86,Entertainment
2023-01-05,Bus ticket payment,6.24,Transport
2023-01-17,Health insurance at Insurance provider,439.94,Insurance
2023-02-14,Medical center medical test,76.79,Health
2023-09-10,Electricity bill payment,166.42,Utilities
2023-10-18,Maintenance company - property service,206.24,Housing
2023-12-08,Netflix subscription payment,18.65,Entertainment
2023-07-10,Sports equipment at Outlet,216.12,Shopping
2023-04-29,Monthly utility deposit,269.56,Utilities
2023-07-25,Internet bill from Municipal services,41.89,Utilities
2023-12-12,Health store - doctor visit,127.16,Health
2023-12-25,Vitamins at Hospital,20.14,Health
2023-08-29,Concert hall theme park,49.28,Entertainment
2023-09-20,HOA fees at Housing authority,284.38,Housing
2023-09-13,Monthly hoa fees,141.41,Housing
2024-02-13,Wellness center - medical test,53.94,Health
2024-02-14,Monthly rent at Apartment complex,1864.46,Housing
2023-12-28,Electricity bill from Power company,131.59,Utilities
2024-01-28,Car insurance at Insurance office,167.28,Insurance
2023-02-23,Monthly health insurance,226.99,Health
2023-09-27,Local restaurant food delivery,33.82,Food
2023-11-14,Taxi from Gas station,50.5,Transport
2023-02-01,Internet bill at Internet provider,56.83,Utilities
2024-02-27,Monthly dinner,70.98,Food
2023-03-07,Beverages payment,23.12,Food
2023-09-19,Monthly lunch,18.06,Food
2023-10-03,Gas bill at City utilities,123.17,Utilities
2023-08-16,Monthly clothes,103.14,Shopping
2023-03-21,Utility deposit at Phone company,175.5,Utilities
2023-12-22,Housing authority repairs,296.82,Housing
2023-05-22,Insurance provider - rental insurance,25.49,Insurance
2024-01-27,Monthly property tax,1908.41,Housing
2023-01-19,Cable TV payment,87.81,Utilities
2023-03-31,Maintenance from Real estate office,947.27,Housing
2023-06-03,Laptop from Walmart,1938.37,Electronics
2024-01-16,Pet supplies from Local grocery,69.76,Groceries
2023-11-27,Highway - car wash,19.55,Transport
2023-03-05,Monthly travel insurance,31.84,Insurance
2023-11-17,Museum entry at Venue,15.41,Entertainment
2023-11-25,Monthly travel insurance,61.47,Insurance
2023-04-27,Netflix subscription payment,19.74,Entertainment
2023-07-11,Tech shop tablet,281.36,Electronics
2023-11-03,Trader Joe's - bulk shopping,187.94,Groceries
2023-03-01,Fast food at Local restaurant,27.81,Food
2023-12-29,Security deposit from Maintenance company,1652.44,Housing
2023-08-08,Doctor visit at Clinic,161.83,Health
2024-01-25,Personal care from Retail store,77.53,Shopping
2023-02-06,Weekly groceries at Local market,154.19,Groceries
2023-06-11,Kroger - fresh produce,59.98,Groceries
2023-09-22,Property management property service,331.89,Housing
2023-07-05,Trader Joe's - baby supplies,94.08,Groceries
2024-01-14,Internet bill at Phone company,94.84,Utilities
2023-10-28,Organic food at Kroger,114.15,Groceries
2023-10-08,Online store - tablet,343.92,Electronics
2023-11-27,Best Buy tablet,419.57,Electronics
2023-11-22,Smartphone payment,998.69,Electronics
2023-03-11,Gaming subscription at Theater,11.38,Entertainment
2023-04-02,Auto shop - car maintenance,65.52,Transport
2023-05-14,Insurance provider car insurance,122.09,Insurance
2023-07-05,Monthly gaming subscription,10.54,Entertainment
2023-07-11,Smartphone at Electronics store,803.0,Electronics
2023-08-29,Municipal services cable tv,136.45,Utilities
